Row Labels,Average of Views,Average of Likes
google," 103,364,971 "," 471,167 "
2016," 14,269,018 "," 234,520 "
2017," 5,285,908 "," 1,495 "
2018," 1,351,287,503 "," 5,501,680 "
2019," 22,935,851 "," 547,913 "
2020," 50,561,909 "," 193,161 "
2021," 34,720,518 "," 121,999 "
2022," 1,655,933 "," 47,449 "
animals," 94,723,961 "," 760,776 "
2009," 153,478,497 "," 1,357,197 "
2010," 23,866,078 "," 203,367 "
2013," 1,582,262,997 "," 11,025,176 "
2014," 510,054,522 "," 3,381,630 "
2019," 106,151,957 "," 1,103,713 "
2020," 48,428,226 "," 769,652 "
2021," 23,965,253 "," 112,730 "
2022," 4,442,843 "," 30,335 "
mrbeast," 66,764,004 "," 2,105,914 "
2019," 90,017,911 "," 2,003,151 "
2020," 129,851,855 "," 4,013,403 "
2021," 155,041,850 "," 5,712,064 "
2022," 28,868,813 "," 1,104,711 "
bed," 53,893,229 "," 473,682 "
2007," 52,482,048 "," 317,161 "
2009," 223,451,481 "," 887,882 "
2010," 19,210,396 "," 144,517 "
2011," 179,429,906 "," 766,414 "
2017," 44,993,704 "," 355,138 "
2018," 34,287,099 "," 475,246 "
2019," 49,183,640 "," 397,142 "
2020," 170,552,912 "," 2,469,151 "
2021," 7,878,344 "," 111,949 "
2022," 2,986,098 "," 57,289 "
music," 29,364,893 "," 314,188 "
2020," 132,379,942 "," 1,257,132 "
2021," 243,465,853 "," 1,824,084 "
2022," 2,804,045 "," 116,051 "
history," 15,047,130 "," 273,411 "
cubes," 15,038,739 "," 303,061 "
mukbang," 10,904,772 "," 141,407 "
apple," 10,746,930 "," 118,079 "
sports," 8,601,205 "," 90,519 "
how-to," 7,809,285 "," 158,898 "
business," 7,236,355 "," 71,985 "
tutorial," 6,761,032 "," 167,721 "
marvel," 6,614,080 "," 210,379 "
food," 5,252,406 "," 95,015 "
movies," 4,788,636 "," 30,773 "
biology," 4,121,606 "," 66,484 "
lofi," 3,989,972 "," 73,436 "
physics," 3,692,387 "," 98,701 "
mathchemistry," 3,328,125 "," 93,849 "
interview," 2,966,112 "," 73,327 "
education," 2,684,433 "," 62,292 "
tech," 1,918,807 "," 60,534 "
minecraft," 1,812,771 "," 61,180 "
asmr," 1,706,616 "," 36,615 "
xbox," 1,703,981 "," 38,820 "
nintendo," 1,665,042 "," 44,574 "
trolling," 1,420,141 "," 61,387 "
chess," 1,323,294 "," 36,042 "
machine learning," 1,312,602 "," 35,278 "
computer science," 1,191,959 "," 33,664 "
sat," 1,065,869 "," 31,031 "
literature," 863,021 "," 17,825 "
game development," 724,689 "," 26,179 "
finance," 694,223 "," 13,235 "
reaction," 623,172 "," 73,960 "
cnn," 554,240 "," 8,836 "
data science," 544,772 "," 17,176 "
gaming," 519,645 "," 24,897 "
crypto," 404,608 "," 8,521 "
news," 247,492 "," 3,013 "
(blank),,
Grand Total,11612916.49,170061.0208